id,title,description,availability,condition,price,link,image_link,brand,google_product_category
"nova-style-miroir-asymetrique","Nova Style : Miroir Asymétrique","Nova Style : Miroir Asymétrique","in stock","new","850 MAD","https://novastyle.ma/produits/nova-style-miroir-asymetrique/","https://novastyle.ma/images/nova-style-miroir-asymetrique/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"magasin-miroir-casablanca-nova-style-miroir-eclipse","Magasin miroir casablanca nova Style : Miroir ÉCLIPSE","Magasin miroir casablanca nova Style : Miroir ÉCLIPSE","in stock","new","450 MAD","https://novastyle.ma/produits/magasin-miroir-casablanca-nova-style-miroir-eclipse/","https://novastyle.ma/images/magasin-miroir-casablanca-nova-style-miroir-eclipse/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-octogonal","Nova Style : Miroir OCTAGONAL","Nova Style : Miroir OCTAGONAL","in stock","new","420 MAD","https://novastyle.ma/produits/nova-style-miroir-octogonal/","https://novastyle.ma/images/nova-style-miroir-octogonal/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-upside-down","Nova Style : Deux Miroirs Upside-Down","Nova Style : Deux Miroirs Upside-Down","in stock","new","1000 MAD","https://novastyle.ma/produits/nova-style-miroir-upside-down/","https://novastyle.ma/images/nova-style-miroir-upside-down/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-dunes","Nova Style : Miroir DUNES","Nova Style : Miroir DUNES","in stock","new","1200 MAD","https://novastyle.ma/produits/nova-style-miroir-dunes/","https://novastyle.ma/images/nova-style-miroir-dunes/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-galet-vertical","Nova Style : Miroir Galet Vertical","Nova Style : Miroir Galet Vertical","in stock","new","600 MAD","https://novastyle.ma/produits/nova-style-miroir-galet-vertical/","https://novastyle.ma/images/nova-style-miroir-galet-vertical/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-de-salon-rotin-anfa-bois-nova-style","Miroir de salon Rotin ANFA & Bois - Nova Style","Miroir de salon Rotin ANFA & Bois - Nova Style","in stock","new","708 MAD","https://novastyle.ma/produits/nova-style-miroir-de-salon-rotin-anfa-bois-nova-style/","https://novastyle.ma/images/nova-style-miroir-de-salon-rotin-anfa-bois-nova-style/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"miroir-de-salle-de-bain-ovale-anti-buee-et-anticorrosion","Miroir de salle de bain anti-buée et anticorrosion : Miroir NOURA de NOVA STYLE","Miroir de salle de bain anti-buée et anticorrosion : Miroir NOURA de NOVA STYLE","in stock","new","540 MAD","https://novastyle.ma/produits/miroir-de-salle-de-bain-ovale-anti-buee-et-anticorrosion/","https://novastyle.ma/images/miroir-de-salle-de-bain-ovale-anti-buee-et-anticorrosion/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-oducts-miroir-de-salle-de-bain-anti-buee-et-anticorrosion-miroir-noura","Miroir de salle de bain anti-buée et anticorrosion : Miroir NOURA","Miroir NOURA anti-buée et anticorrosion avec LED 6000K. Fabrication sur mesure à Casablanca. Livraison rapide partout au Maroc. Design moderne et durable.","in stock","new","850 MAD","https://novastyle.ma/produits/nova-style-oducts-miroir-de-salle-de-bain-anti-buee-et-anticorrosion-miroir-noura/","https://novastyle.ma/images/nova-style-oducts-miroir-de-salle-de-bain-anti-buee-et-anticorrosion-miroir-noura/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-de-salon-teddy-duo-de-nova-style","Miroir de salon TEDDY DUO de Nova Style","Miroir TEDDY DUO Set de deux miroirs sculpturaux en tissu bouclé, fabriqués sur mesure à Casablanca. Grand miroir de sol TEDDY FLOOR et petit miroir TEDDY OVAL","in stock","new","1850 MAD","https://novastyle.ma/produits/nova-style-miroir-de-salon-teddy-duo-de-nova-style/","https://novastyle.ma/images/nova-style-miroir-de-salon-teddy-duo-de-nova-style/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-de-salon-et-dressing-rital-grand-miroir-de-sol-sculptural-en-tissu-boucle","Miroir de salon et dressing RITAL — Grand Miroir de Sol Sculptural en Tissu Bouclé","Nova Style : Miroir RITAL — Grand miroir de sol sculptural en tissu bouclé, fabriqué sur mesure à Casablanca.","in stock","new","1750 MAD","https://novastyle.ma/produits/nova-style-miroir-de-salon-et-dressing-rital-grand-miroir-de-sol-sculptural-en-tissu-boucle/","https://novastyle.ma/images/nova-style-miroir-de-salon-et-dressing-rital-grand-miroir-de-sol-sculptural-en-tissu-boucle/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
